Country,Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
BRA,1990,989000000.0,0.146650222526177,2947.73277248299,48.852380952380926,32028703568.9999,27188105814.8072,-4.35000000000022,9.344117647058823,149143223.0,380339036380.184,390725626002.866,62225754.0,4840597754.192699,2619.801410640469,2.6582821630966738,15.155599081021814,0.25311879594832243,41.72214650343181
BRA,1991,1103000000.0,0.323984265003483,432.786661926461,48.852380952380926,29730384050.1383,27115606036.3239,1.0321895854696,6.887,151724256.0,334931411093.569,342609231342.783,63803243.0,2614778013.8144035,2258.1045402706277,2.240984639883312,16.592077762664655,0.32194112098994804,42.05210470763488
BRA,1992,2061000000.0,0.545723857524072,951.962053052817,48.852380952380926,35668490420.1102,27518767695.3196,-0.544072051030298,7.086,154275079.0,321997047142.546,328187960871.951,65654226.0,8149722724.7906,2127.290830114895,1.8863926979394823,19.253374787895876,0.6279937857940315,42.55659852878766
BRA,1993,1292000000.0,0.338586558320567,1927.38079016026,48.852380952380926,38683106084.5045,33500364056.5262,4.92469000463774,6.03,156794577.0,359329728432.148,368295778245.09,67538482.0,5182742027.978302,2348.9063543638376,2.4344698860423466,19.599320547463545,0.35080499867696335,43.07450123099602
BRA,1994,3072000000.0,0.393627459716483,2075.88839757325,48.852380952380926,49978835483.8031,48132722297.6479,5.8528703643893,6.579,159265006.0,505179284391.702,525369851353.742,69427335.0,1846113186.1551971,3298.714918917857,3.84311488563992,18.674759796102293,0.5847309266194571,43.59233502932842
BRA,1995,4859000000.0,0.383708840278732,66.0070335542481,48.852380952380926,57922145075.9927,72744966688.2403,4.2237936336472,7.092,161735073.0,758586196666.96,769333330411.575,71346700.0,-14822821612.247597,4756.750135523016,1.3969411332881587,16.98445999919557,0.6315857909601488,44.113313628640086
BRA,1996,12552000000.0,0.242113829026541,15.7576656002606,48.852380952380926,57235482155.3958,75733720733.3057,2.20886405051482,8.035,164202549.0,839052100885.484,850426433004.077,71163065.0,-18498238577.909897,5179.130520099764,1.3374857221234195,15.635591478382944,1.475965411336153,43.338587271260934
BRA,1997,18992934310.6468,0.177987830028304,6.92671251629154,78.1933333333333,61680043707.1935,84722106135.423,3.39484598531597,9.003,166661659.0,868630774082.402,883206452795.124,73815138.0,-23042062428.229507,5299.397942481324,1.6503138837577247,16.57620926333712,2.1504523942888993,44.29041354976552
BRA,1998,28855609916.42,0.143103421111572,3.19507629280051,86.3633333333333,60723205260.3554,81258662213.1179,0.338097901952338,10.15,169159655.0,845870879382.865,863711007325.493,75725311.0,-20535456952.762505,5105.892461920031,2.0655205029597274,16.438584928206993,3.3408871337384314,44.765586096755754
BRA,1999,28385675614.9902,0.250315990583017,4.85844749902666,80.4433333333333,57355154395.7223,68462744029.1499,0.467937566679467,11.125,171641543.0,581160970747.041,599642075004.471,78290799.0,-11107589633.427605,3493.571920432287,3.0820225977792064,20.982166473880955,4.7337698267384845,45.6129662036422
BRA,2000,32994718699.75,0.205903536568475,7.04414105947265,56.83,66777376073.331,81614529580.3146,4.38794944364869,10.889,174018282.0,636572488761.719,655448188259.351,80295093.0,-14837153506.983604,3766.5478633983466,2.8798156491605296,22.63976135897551,5.033917141089798,46.14175710572755
BRA,2001,23225846372.251,0.258742172210844,6.84035902487523,57.6166666666666,69279563683.047,81559242944.9922,1.3898964044581,10.649,176301203.0,541802025604.252,559983704094.17,82302317.0,-12279679261.945206,3176.289750525242,3.246822783768096,26.936285024943025,4.147593260739818,46.68278809192243
BRA,2002,16586600193.114,0.393057981355301,8.45016437708331,62.875,72546876208.0285,68250203697.4473,3.05346185683619,10.641,178503484.0,492692609449.771,509795270685.19,85201661.0,4296672510.5812,2855.940171370493,3.3548097086958424,27.61835740771733,3.2535806326372527,47.73109134385299
BRA,2003,10123013670.99,0.409627706284062,14.7149197228147,67.0833333333333,84744254237.9749,72344863387.4048,1.14082899877101,11.168,180622688.0,540518512990.096,558233724164.711,86792831.0,12399390850.570099,3090.6068907839035,3.173439799095342,28.140384721548884,1.8134005941932536,48.05200939097972
BRA,2004,18161380459.7533,0.420223946174532,6.59718509985963,54.925,110739015046.921,87894359743.7903,5.75996463685998,10.072,182675143.0,649516039101.083,669289321944.512,89058034.0,22844655303.130707,3663.822624978112,2.954369985461725,29.678252480349478,2.713532080115718,48.75213591594123
BRA,2005,15459981604.1196,0.314631176636436,6.86953720898964,55.3833333333333,135919138201.251,105595890397.488,3.20213206216255,10.551,184688101.0,865859652973.965,891633826625.407,91599988.0,30323247803.763,4827.7816589029035,2.890667994168671,27.08679520524789,1.7338935718299802,49.59712483047297
BRA,2006,19418085598.0793,0.29677525531574,4.18356812896909,50.8083333333333,159213766909.526,129231057090.313,3.96198870899485,9.692,186653106.0,1079909686695.35,1107626711163.23,92726865.0,29982709819.212997,5934.145618574545,2.5023795642100013,26.04169988794457,1.7531254349839955,49.67871523123757
BRA,2007,44579492463.6336,0.236608710178951,3.64127299102652,43.7166666666666,186202847701.222,167163829315.927,6.06987060733128,9.28,188552320.0,1367438369100.13,1397114247188.89,93712199.0,19039018385.294983,7409.690038228593,2.124083849869139,25.29261137578062,3.1908265593405294,49.70089946387294
BRA,2008,50716402711.4787,0.214793373167509,5.67859390284168,47.25,229517077426.892,232731883186.608,5.09419544811998,8.268,190367302.0,1654272376257.72,1695855391757.96,95054971.0,-3214805759.7160034,8908.333384679476,2.45203781539027,27.257569416595295,2.990608925617472,49.9324043579711
BRA,2009,31480931700.0,0.173315292299207,4.88803479876798,44.65,180891954696.632,187613839464.85,-0.12581200299141,9.419,192079951.0,1630109870571.85,1666996294252.12,96857149.0,-6721884768.218018,8678.658473065312,2.212747791189225,22.105975606071045,1.8884824044629074,50.425434042306684
BRA,2010,82389932468.07,0.139566673278077,5.03872690108074,39.9916666666666,240003177242.351,262997371054.402,7.52822581812151,8.42,193701929.0,2140606612730.03,2208838108484.35,96467543.0,-22994193812.050995,11403.28400386942,3.0890220289226553,22.772178113220782,3.7300122698717804,49.802055920671805
BRA,2011,102427228231.42,0.122874992837042,6.6364496221309,43.8833333333333,303016670666.47,323144851604.241,3.97442307944702,7.578,195284734.0,2548929316371.71,2616156606579.21,95987652.0,-20128180937.771057,13396.626315804133,2.569696708462875,23.934405176510314,3.9151795413864794,49.1526654612951
BRA,2012,92568388321.34,0.112933640369011,5.40349914036997,36.6366666666666,292808453766.78,326315725034.084,1.92117598509462,7.251,196876111.0,2403719887646.8,2465228293706.86,96690220.0,-33507271267.303955,12521.72384544339,2.4950389469841943,25.114273610332173,3.754962108687663,49.1122155496052
