Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2025,,,,,,,,4.632,,,,2892490.0,,,,,,
2024,4818899599.81408,0.107757774289943,2.11344999577317,,877092941905.469,622469214438.75,2.59946721553708,4.3,5395790.0,457660009009.536,609157459747.205,2857089.0,254623727466.719,112894.95324080532,24.869998440229075,246.16987485740128,0.791076186083953,52.95033720734128
2023,-139972323560.253,0.100626960522158,6.29942487419125,,774613383952.367,585093268387.854,-2.53637409313261,4.243,5311538.0,422771233581.904,567372737459.116,2846866.0,189520115564.51294,106818.91713080392,25.486156512345946,239.64962758511098,-24.6702589530642,53.59777149292728
2022,-35575910807.5925,0.0969814080083862,7.82945736434105,,764969597258.952,538742737109.535,7.51113888415304,4.465,5212836.0,374797543571.11,548341794599.09,2705770.0,226226860149.41705,105190.68595273091,31.648919111639795,237.75541955937763,-6.4879079358893605,51.90591071731395
2021,77722796051.0396,0.0339096176869685,2.34034113447044,,723445227902.702,501936785223.519,16.2581881158197,6.357,5110585.0,378406812399.506,530394123829.763,2604356.0,221508442679.18304,103783.44628447878,28.655542096284492,231.032350863586,14.653781510593387,50.960036864664225
2020,35288206770.2389,0.06331314263944,-0.326183651280033,,609592461958.134,518713605705.651,7.15369505735335,5.623,5039747.0,318339567773.399,436009027818.948,2459907.0,90878856252.48303,86514.07061087551,26.987849456734423,258.7804370262517,8.093457822825693,48.81012876241605
2019,31252184929.3129,0.144073954242034,0.937842961189274,,534361678398.431,514830799947.372,4.97288003766816,4.95,4976456.0,306843905042.156,407211793800.713,2467948.0,19530878451.05902,81827.66888739959,24.647588868134907,257.65277291042105,7.674675784220418,49.59248107488542
2018,80581468516.7593,0.157569499486687,0.471130713712916,,498559384824.956,381868643805.341,7.68865937437435,5.741,4898022.0,299883857691.386,395780319816.603,2413701.0,116690741019.61499,80804.11231648266,24.229719701488346,222.45371600039897,20.360150437520286,49.27909674558424
2017,71124020351.904,0.171284096503885,0.362173038229378,,447623457263.236,365103478210.224,10.1088576065965,6.713,4827445.0,273266801596.073,348355212568.515,2363157.0,82519979053.01202,72161.40475313857,21.555127715413047,233.30408334671083,20.417096626023714,48.95254114754285
2016,79795011377.5093,0.188417134327497,0.0201247735963237,,394551308718.876,337593450586.6,1.22271661130947,8.374,4762722.0,248782924535.334,305431252708.748,2332726.0,56957858132.276,64129.55715423827,18.546997948318168,239.70852779876844,26.1253590357369,48.978840251436054
2015,226022972770.416,0.199804942203134,-0.330959783371788,,382724762971.242,293084919845.965,24.6239856364006,9.908,4701957.0,234700143610.625,302101388556.271,2285573.0,89639843125.27698,64250.13851812575,22.31080276318938,223.70293829064184,74.81692614872432,48.6089728170632
2014,104903896347.793,0.272343740919214,0.190916398713745,,306723211566.732,256055573293.823,9.38579335130922,11.858,4657740.0,224954564861.563,266490442124.309,2257992.0,50667638272.909,57214.53797857094,15.586254025339825,211.18160200208501,39.364975160669665,48.478274871504205
2013,72540330763.7405,0.29739090734291,0.515099484900573,,266600810534.032,218622360430.84,2.1929375750029,13.735,4623816.0,204648875932.735,242924245718.756,2246922.0,47978450103.19202,52537.610864869195,15.75609288104329,199.74258622444628,29.86129710894465,48.59453749889702
