Cách tính,Phân loại tiêu chuẩn ngoại thương,Năm,Giá trị
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2019,46605.4
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2020,44276.3
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2021,62041.6
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2022,75480
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",2023,70163.3
Trị giá (Triệu đô la Mỹ),"Hàng thô hoặc mới sơ chế, hàng hóa thuộc ngành công nghiệp chế biến, khoáng sản",Sơ bộ 2024,74845.1
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",1995,379.9
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",1996,408.5
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",1997,430.307
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",1998,461.673
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",1999,505.937
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2000,626.5
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2001,834.2
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2002,939.2
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2003,1262.2
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2004,1495.2
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2005,1955.2
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2006,2299.3
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2007,3279.6
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2008,4525
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2009,4631.2
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2010,6225.1
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2011,7379.8
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2012,7669.1
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2013,9077.1
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2014,10666.9
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2015,12042.6
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2016,13450.2
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2017,15078.6
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2018,17131.4
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2019,17544.7
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2020,18128
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2021,24787.7
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2022,27082.9
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",2023,25570
Trị giá (Triệu đô la Mỹ),"Lương thực, thực phẩm và động vật sống",Sơ bộ 2024,27225.6
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,1995,80.9
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,1996,43.1
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,1997,83.159
Trị giá (Triệu đô la Mỹ),Đồ uống và thuốc lá,1998,122.146
