Ngành kinh tế,Năm,Số dự án và tổng vốn đăng ký,Giá trị
"Vận tải, kho bãi",2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),145
"Vận tải, kho bãi",2016,Số dự án,89
"Vận tải, kho bãi",2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),903
"Vận tải, kho bãi",2017,Số dự án,82
"Vận tải, kho bãi",2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),450.4057765901333
"Vận tải, kho bãi",2018,Số dự án,77
"Vận tải, kho bãi",2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),440.7835969888889
"Vận tải, kho bãi",2019,Số dự án,105
"Vận tải, kho bãi",2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),356.5200964185038
"Vận tải, kho bãi",2020,Số dự án,62
"Vận tải, kho bãi",2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),666.3
"Vận tải, kho bãi",2021,Số dự án,56
"Vận tải, kho bãi",2021,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),741.90947862
"Vận tải, kho bãi",2022,Số dự án,78
"Vận tải, kho bãi",2022,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),453.7639027
"Vận tải, kho bãi",2023,Số dự án,122
"Vận tải, kho bãi",2023,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),490.7760292803125
"Vận tải, kho bãi",2024,Số dự án,115
"Vận tải, kho bãi",2024,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),487.7886425141463
Dịch vụ lưu trú và ăn uống,2015,Số dự án,65
Dịch vụ lưu trú và ăn uống,2015,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),139.4
Dịch vụ lưu trú và ăn uống,2016,Số dự án,100
Dịch vụ lưu trú và ăn uống,2016,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),474.7
Dịch vụ lưu trú và ăn uống,2017,Số dự án,113
Dịch vụ lưu trú và ăn uống,2017,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),534.112720529733
Dịch vụ lưu trú và ăn uống,2018,Số dự án,104
Dịch vụ lưu trú và ăn uống,2018,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),373.8348187801333
Dịch vụ lưu trú và ăn uống,2019,Số dự án,106
Dịch vụ lưu trú và ăn uống,2019,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),490.5599594665163
Dịch vụ lưu trú và ăn uống,2020,Số dự án,58
Dịch vụ lưu trú và ăn uống,2020,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),354.5
Dịch vụ lưu trú và ăn uống,2021,Số dự án,26
