"Khối nước, nước và vùng lãnh thổ",Năm,Giá trị
In-đô-nê-xi-a,2002,332
In-đô-nê-xi-a,2003,467.2
In-đô-nê-xi-a,2004,452.9
In-đô-nê-xi-a,2005,468.8
In-đô-nê-xi-a,2006,957.9
In-đô-nê-xi-a,2007,1153.2
In-đô-nê-xi-a,2008,751.2
In-đô-nê-xi-a,2009,754.1
In-đô-nê-xi-a,2010,1433.4
In-đô-nê-xi-a,2011,2358.9
In-đô-nê-xi-a,2012,2357.7
In-đô-nê-xi-a,2013,2502.2
In-đô-nê-xi-a,2014,2890.4
In-đô-nê-xi-a,2015,2847.6
In-đô-nê-xi-a,2016,2617.9
In-đô-nê-xi-a,2017,2858.9
In-đô-nê-xi-a,2018,3533.7
In-đô-nê-xi-a,2019,3369.19329063
In-đô-nê-xi-a,2020,2826.06354845
In-đô-nê-xi-a,2021,3914.1529081
In-đô-nê-xi-a,2022,4522.41901906
In-đô-nê-xi-a,2023,5069.12921017
In-đô-nê-xi-a,Sơ bộ 2024,6194.435293
Lào,1995,20.6
Lào,1996,24.9
Lào,1997,30.4
Lào,1998,73.4
Lào,1999,165.3
Lào,2000,70.7
Lào,2001,64.3
Lào,2002,64.7
Lào,2003,51.8
Lào,2004,68.4
Lào,2005,69.2
Lào,2006,95
Lào,2007,109.7
Lào,2008,160.3
Lào,2009,172.2
Lào,2010,200
Lào,2011,286.6
Lào,2012,432.6
Lào,2013,423.2
Lào,2014,484
Lào,2015,523.3
Lào,2016,477.8
Lào,2017,518.3
Lào,2018,595.2
Lào,2019,702.23082903
Lào,2020,571.76356291
Lào,2021,594.70080256
Lào,2022,602.66170968
Lào,2023,533.0533272
Lào,Sơ bộ 2024,754.935549
Ma-lai-xi-a,1995,110.6
Ma-lai-xi-a,1996,77.7
Ma-lai-xi-a,1997,141.6
Ma-lai-xi-a,1998,115.2
Ma-lai-xi-a,1999,256.5
Ma-lai-xi-a,2000,413.9
Ma-lai-xi-a,2001,337.224
Ma-lai-xi-a,2002,347.8
Ma-lai-xi-a,2003,453.8
Ma-lai-xi-a,2004,624.3
Ma-lai-xi-a,2005,1028.3
Ma-lai-xi-a,2006,1254
Ma-lai-xi-a,2007,1555
Ma-lai-xi-a,2008,2030.4
Ma-lai-xi-a,2009,1775.2
Ma-lai-xi-a,2010,2093.1
Ma-lai-xi-a,2011,2770.8
Ma-lai-xi-a,2012,4500.3
Ma-lai-xi-a,2013,4984.5
Ma-lai-xi-a,2014,3926.4
Ma-lai-xi-a,2015,3577.1
Ma-lai-xi-a,2016,3342
Ma-lai-xi-a,2017,4204.3
Ma-lai-xi-a,2018,4064.6
Ma-lai-xi-a,2019,3788.2344475
Ma-lai-xi-a,2020,3419.38184187
Ma-lai-xi-a,2021,4414.84937607
Ma-lai-xi-a,2022,5817.89066357
Ma-lai-xi-a,2023,4862.03038743
Ma-lai-xi-a,Sơ bộ 2024,5065.975304
My-an-ma,1995,
My-an-ma,1996,
My-an-ma,1997,
My-an-ma,1998,
My-an-ma,1999,
My-an-ma,2000,5.7
My-an-ma,2001,5.4
My-an-ma,2002,7.1
My-an-ma,2003,12.5
My-an-ma,2004,14
My-an-ma,2005,12
My-an-ma,2006,16.5
My-an-ma,2007,21.8
My-an-ma,2008,32.6
My-an-ma,2009,33.9
My-an-ma,2010,49.5
My-an-ma,2011,82.5
My-an-ma,2012,117.8
My-an-ma,2013,229.7
My-an-ma,2014,345
My-an-ma,2015,375.7
My-an-ma,2016,461.6
My-an-ma,2017,701.4
My-an-ma,2018,702.1
My-an-ma,2019,721.29801523
My-an-ma,2020,633.2699298
My-an-ma,2021,408.52145979
My-an-ma,2022,531.2463114
My-an-ma,2023,437.94631686
My-an-ma,Sơ bộ 2024,282.108425
Phi-li-pin,1995,41.5
Phi-li-pin,1996,132
Phi-li-pin,1997,240.6
Phi-li-pin,1998,401.1
Phi-li-pin,1999,393.2
Phi-li-pin,2000,478.4
Phi-li-pin,2001,368.398
Phi-li-pin,2002,315.2
Phi-li-pin,2003,340
Phi-li-pin,2004,498.6
Phi-li-pin,2005,829
Phi-li-pin,2006,782.8
Phi-li-pin,2007,965.1
Phi-li-pin,2008,1824.7
Phi-li-pin,2009,1461.9
Phi-li-pin,2010,1706.4
Phi-li-pin,2011,1535.3
Phi-li-pin,2012,1871.5
Phi-li-pin,2013,1732.3
Phi-li-pin,2014,2310.3
Phi-li-pin,2015,2016.4
Phi-li-pin,2016,2219.9
Phi-li-pin,2017,2833.4
Phi-li-pin,2018,3464.9
Phi-li-pin,2019,3727.43596885
Phi-li-pin,2020,3549.56504897
Phi-li-pin,2021,4571.29251619
Phi-li-pin,2022,5090.04015718
Phi-li-pin,2023,5147.37645774
Phi-li-pin,Sơ bộ 2024,6189.682783
Xin-ga-po,1995,689.8
Xin-ga-po,1996,1290
Xin-ga-po,1997,1215.9
Xin-ga-po,1998,740.9
Xin-ga-po,1999,876.4
Xin-ga-po,2000,885.9
Xin-ga-po,2001,1043.734
Xin-ga-po,2002,961.1
Xin-ga-po,2003,1024.7
Xin-ga-po,2004,1485.3
