Giá trị và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2010,964.6
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2011,2073
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2012,100.4
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2013,117.1
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2014,128.2
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2015,126.5
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2016,137.9
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2017,140.9
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2018,147.6
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2019,162
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2020,216.4
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2021,257.7805752970223
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2022,267
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,2023,271.4
Giá trị (Triệu đô la Mỹ),Vàng phi tiền tệ,Sơ bộ 2024,326.8
Cơ cấu (%),TỔNG SỐ,1995,100
Cơ cấu (%),TỔNG SỐ,1996,100
Cơ cấu (%),TỔNG SỐ,1997,100
Cơ cấu (%),TỔNG SỐ,1998,100
Cơ cấu (%),TỔNG SỐ,1999,100
Cơ cấu (%),TỔNG SỐ,2000,100
Cơ cấu (%),TỔNG SỐ,2001,100
Cơ cấu (%),TỔNG SỐ,2002,100
Cơ cấu (%),TỔNG SỐ,2003,100
Cơ cấu (%),TỔNG SỐ,2004,100
Cơ cấu (%),TỔNG SỐ,2005,100
Cơ cấu (%),TỔNG SỐ,2006,100
Cơ cấu (%),TỔNG SỐ,2007,100
Cơ cấu (%),TỔNG SỐ,2008,100
Cơ cấu (%),TỔNG SỐ,2009,100
Cơ cấu (%),TỔNG SỐ,2010,100
Cơ cấu (%),TỔNG SỐ,2011,100
Cơ cấu (%),TỔNG SỐ,2012,100
Cơ cấu (%),TỔNG SỐ,2013,100
Cơ cấu (%),TỔNG SỐ,2014,100
Cơ cấu (%),TỔNG SỐ,2015,100
Cơ cấu (%),TỔNG SỐ,2016,100
Cơ cấu (%),TỔNG SỐ,2017,100
Cơ cấu (%),TỔNG SỐ,2018,100
Cơ cấu (%),TỔNG SỐ,2019,100
Cơ cấu (%),TỔNG SỐ,2020,100
Cơ cấu (%),TỔNG SỐ,2021,100
Cơ cấu (%),TỔNG SỐ,2022,100
Cơ cấu (%),TỔNG SỐ,2023,100
Cơ cấu (%),TỔNG SỐ,Sơ bộ 2024,100
Cơ cấu (%),Khu vực kinh tế trong nước,1995,81.99843048777497
Cơ cấu (%),Khu vực kinh tế trong nước,1996,81.7
Cơ cấu (%),Khu vực kinh tế trong nước,1997,72.4
Cơ cấu (%),Khu vực kinh tế trong nước,1998,76.8
Cơ cấu (%),Khu vực kinh tế trong nước,1999,71.2
Cơ cấu (%),Khu vực kinh tế trong nước,2000,72.2
Cơ cấu (%),Khu vực kinh tế trong nước,2001,69.26254778641017
Cơ cấu (%),Khu vực kinh tế trong nước,2002,66.1
Cơ cấu (%),Khu vực kinh tế trong nước,2003,65.1
Cơ cấu (%),Khu vực kinh tế trong nước,2004,65.3
Cơ cấu (%),Khu vực kinh tế trong nước,2005,62.9
Cơ cấu (%),Khu vực kinh tế trong nước,2006,63.3
Cơ cấu (%),Khu vực kinh tế trong nước,2007,65.4
Cơ cấu (%),Khu vực kinh tế trong nước,2008,65.5
Cơ cấu (%),Khu vực kinh tế trong nước,2009,62.7
Cơ cấu (%),Khu vực kinh tế trong nước,2010,56.4
Cơ cấu (%),Khu vực kinh tế trong nước,2011,54.7
Cơ cấu (%),Khu vực kinh tế trong nước,2012,47.3
Cơ cấu (%),Khu vực kinh tế trong nước,2013,43.6
Cơ cấu (%),Khu vực kinh tế trong nước,2014,43
Cơ cấu (%),Khu vực kinh tế trong nước,2015,41.4
Cơ cấu (%),Khu vực kinh tế trong nước,2016,41.5
Cơ cấu (%),Khu vực kinh tế trong nước,2017,40
Cơ cấu (%),Khu vực kinh tế trong nước,2018,40.2
Cơ cấu (%),Khu vực kinh tế trong nước,2019,41.1
Cơ cấu (%),Khu vực kinh tế trong nước,2020,35.68504829015923
Cơ cấu (%),Khu vực kinh tế trong nước,2021,34.38436160780208
Cơ cấu (%),Khu vực kinh tế trong nước,2022,35.2
Cơ cấu (%),Khu vực kinh tế trong nước,2023,36
Cơ cấu (%),Khu vực kinh tế trong nước,Sơ bộ 2024,36.8
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,1995,18.00156951222503
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,1996,18.3
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,1997,27.6
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,1998,23.2
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,1999,28.8
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2000,27.8
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2001,30.73745221358983
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2002,33.9
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2003,34.9
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2004,34.7
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2005,37.1
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2006,36.7
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2007,34.6
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2008,34.5
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2009,37.3
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2010,43.6
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2011,45.3
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2012,52.7
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2013,56.4
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2014,57
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2015,58.6
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2016,58.5
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2017,60
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2018,59.8
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2019,58.9
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2020,64.31495170984076
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2021,65.61563839219792
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2022,64.8
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,2023,64
Cơ cấu (%),Khu vực có vốn đầu tư nước ngoài,Sơ bộ 2024,63.2
Cơ cấu (%),Tư liệu sản xuất,1995,84.82232631140104
Cơ cấu (%),Tư liệu sản xuất,1996,87.6
Cơ cấu (%),Tư liệu sản xuất,1997,89.9
Cơ cấu (%),Tư liệu sản xuất,1998,91.5
Cơ cấu (%),Tư liệu sản xuất,1999,91.6
Cơ cấu (%),Tư liệu sản xuất,2000,93.8
Cơ cấu (%),Tư liệu sản xuất,2001,92.07128992477493
Cơ cấu (%),Tư liệu sản xuất,2002,92.1
Cơ cấu (%),Tư liệu sản xuất,2003,92.2
Cơ cấu (%),Tư liệu sản xuất,2004,93.3
Cơ cấu (%),Tư liệu sản xuất,2005,89.6
Cơ cấu (%),Tư liệu sản xuất,2006,88
Cơ cấu (%),Tư liệu sản xuất,2007,90.5
Cơ cấu (%),Tư liệu sản xuất,2008,88.8
Cơ cấu (%),Tư liệu sản xuất,2009,90.2
Cơ cấu (%),Tư liệu sản xuất,2010,89
Cơ cấu (%),Tư liệu sản xuất,2011,88.6
Cơ cấu (%),Tư liệu sản xuất,2012,90.9
Cơ cấu (%),Tư liệu sản xuất,2013,90.8
Cơ cấu (%),Tư liệu sản xuất,2014,91.1
Cơ cấu (%),Tư liệu sản xuất,2015,91.1
Cơ cấu (%),Tư liệu sản xuất,2016,90.3
Cơ cấu (%),Tư liệu sản xuất,2017,90.6
Cơ cấu (%),Tư liệu sản xuất,2018,89.8
Cơ cấu (%),Tư liệu sản xuất,2019,89.1
Cơ cấu (%),Tư liệu sản xuất,2020,88.69962705981595
Cơ cấu (%),Tư liệu sản xuất,2021,88.83928838994342
Cơ cấu (%),Tư liệu sản xuất,2022,88.9
Cơ cấu (%),Tư liệu sản xuất,2023,89.4
Cơ cấu (%),Tư liệu sản xuất,Sơ bộ 2024,88.9
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",1995,25.71179831767909
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",1996,27.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",1997,30.3
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",1998,30.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",1999,29.9
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2000,30.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2001,30.51547663090393
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2002,29.8
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2003,31.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2004,28.8
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2005,25.3
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2006,24.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2007,28.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2008,28
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2009,31.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2010,29.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2011,29.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2012,35.1
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2013,38.2
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2014,38.1
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2015,43.2
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2016,43.7
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2017,45.6
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2018,43
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2019,45.1
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2020,49.14431648998769
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2021,47.19546915042468
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2022,45.3
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",2023,46.2
Cơ cấu (%),"Máy móc, thiết bị, dụng cụ, phụ tùng",Sơ bộ 2024,45.1
Cơ cấu (%),"Nguyên, nhiên, vật liệu",1995,59.11052799372195
Cơ cấu (%),"Nguyên, nhiên, vật liệu",1996,60
Cơ cấu (%),"Nguyên, nhiên, vật liệu",1997,59.6
Cơ cấu (%),"Nguyên, nhiên, vật liệu",1998,61
Cơ cấu (%),"Nguyên, nhiên, vật liệu",1999,61.7
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2000,63.2
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2001,61.55581329387101
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2002,62.3
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2003,60.6
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2004,64.5
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2005,64.4
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2006,63.4
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2007,61.9
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2008,60.8
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2009,58.6
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2010,59.4
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2011,59
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2012,55.8
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2013,52.6
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2014,53
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2015,47.9
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2016,46.6
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2017,45
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2018,46.8
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2019,44
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2020,39.55531056982827
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2021,41.64381923951876
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2022,43.6
Cơ cấu (%),"Nguyên, nhiên, vật liệu",2023,43.2
Cơ cấu (%),"Nguyên, nhiên, vật liệu",Sơ bộ 2024,43.9
Cơ cấu (%),Hàng tiêu dùng,1995,15.17767368859897
Cơ cấu (%),Hàng tiêu dùng,1996,12.4
Cơ cấu (%),Hàng tiêu dùng,1997,10.1
Cơ cấu (%),Hàng tiêu dùng,1998,8.5
Cơ cấu (%),Hàng tiêu dùng,1999,8.4
Cơ cấu (%),Hàng tiêu dùng,2000,6.2
Cơ cấu (%),Hàng tiêu dùng,2001,7.937745714638057
Cơ cấu (%),Hàng tiêu dùng,2002,7.9
Cơ cấu (%),Hàng tiêu dùng,2003,7.8
Cơ cấu (%),Hàng tiêu dùng,2004,6.7
Cơ cấu (%),Hàng tiêu dùng,2005,8.2
Cơ cấu (%),Hàng tiêu dùng,2006,7.8
Cơ cấu (%),Hàng tiêu dùng,2007,7.4
Cơ cấu (%),Hàng tiêu dùng,2008,7.8
Cơ cấu (%),Hàng tiêu dùng,2009,9.3
Cơ cấu (%),Hàng tiêu dùng,2010,9.9
Cơ cấu (%),Hàng tiêu dùng,2011,9.5
Cơ cấu (%),Hàng tiêu dùng,2012,9
Cơ cấu (%),Hàng tiêu dùng,2013,9.1
Cơ cấu (%),Hàng tiêu dùng,2014,8.8
Cơ cấu (%),Hàng tiêu dùng,2015,8.8
Cơ cấu (%),Hàng tiêu dùng,2016,9.6
Cơ cấu (%),Hàng tiêu dùng,2017,9.3
Cơ cấu (%),Hàng tiêu dùng,2018,10.1
Cơ cấu (%),Hàng tiêu dùng,2019,10.8
Cơ cấu (%),Hàng tiêu dùng,2020,11.21799320607424
Cơ cấu (%),Hàng tiêu dùng,2021,11.0832929789677
Cơ cấu (%),Hàng tiêu dùng,2022,11
Cơ cấu (%),Hàng tiêu dùng,2023,10.5
Cơ cấu (%),Hàng tiêu dùng,Sơ bộ 2024,11
Cơ cấu (%),Lương thực,1995,
Cơ cấu (%),Lương thực,1996,
Cơ cấu (%),Lương thực,1997,
Cơ cấu (%),Lương thực,1998,
Cơ cấu (%),Lương thực,1999,
Cơ cấu (%),Lương thực,2000,0
Cơ cấu (%),Lương thực,2001,
Cơ cấu (%),Lương thực,2002,0
Cơ cấu (%),Lương thực,2003,0
Cơ cấu (%),Lương thực,2004,0
Cơ cấu (%),Lương thực,2005,0
Cơ cấu (%),Lương thực,2006,0
Cơ cấu (%),Lương thực,2007,0
Cơ cấu (%),Lương thực,2008,0
Cơ cấu (%),Lương thực,2009,0.1
Cơ cấu (%),Lương thực,2010,0
Cơ cấu (%),Lương thực,2011,0
Cơ cấu (%),Lương thực,2012,0
Cơ cấu (%),Lương thực,2013,0
Cơ cấu (%),Lương thực,2014,0.004
Cơ cấu (%),Lương thực,2015,0.005
Cơ cấu (%),Lương thực,2016,0.01
Cơ cấu (%),Lương thực,2017,0.008
Cơ cấu (%),Lương thực,2018,0.01
Cơ cấu (%),Lương thực,2019,0.006
Cơ cấu (%),Lương thực,2020,0.007362762933262
Cơ cấu (%),Lương thực,2021,0.047351715627671
Cơ cấu (%),Lương thực,2022,0.041
Cơ cấu (%),Lương thực,2023,0.1
Cơ cấu (%),Lương thực,Sơ bộ 2024,0.4
Cơ cấu (%),Thực phẩm,1995,3.544890501998677
Cơ cấu (%),Thực phẩm,1996,2.9
Cơ cấu (%),Thực phẩm,1997,2.1
Cơ cấu (%),Thực phẩm,1998,2.4
Cơ cấu (%),Thực phẩm,1999,2.5
Cơ cấu (%),Thực phẩm,2000,1.9
Cơ cấu (%),Thực phẩm,2001,2.957824639289678
Cơ cấu (%),Thực phẩm,2002,2.5
Cơ cấu (%),Thực phẩm,2003,2.4
Cơ cấu (%),Thực phẩm,2004,2.4
Cơ cấu (%),Thực phẩm,2005,3
Cơ cấu (%),Thực phẩm,2006,2.8
Cơ cấu (%),Thực phẩm,2007,2.5
Cơ cấu (%),Thực phẩm,2008,2.8
Cơ cấu (%),Thực phẩm,2009,3
Cơ cấu (%),Thực phẩm,2010,3.3
Cơ cấu (%),Thực phẩm,2011,3.5
Cơ cấu (%),Thực phẩm,2012,3.3
Cơ cấu (%),Thực phẩm,2013,3.5
Cơ cấu (%),Thực phẩm,2014,3.7
Cơ cấu (%),Thực phẩm,2015,3.8
Cơ cấu (%),Thực phẩm,2016,4.1
Cơ cấu (%),Thực phẩm,2017,4.3
Cơ cấu (%),Thực phẩm,2018,4.2
Cơ cấu (%),Thực phẩm,2019,4.3
Cơ cấu (%),Thực phẩm,2020,4.26440711877186
Cơ cấu (%),Thực phẩm,2021,4.62377928369701
Cơ cấu (%),Thực phẩm,2022,4.7
Cơ cấu (%),Thực phẩm,2023,4.7
Cơ cấu (%),Thực phẩm,Sơ bộ 2024,4.5
Cơ cấu (%),Hàng y tế,1995,0.850969909507811
Cơ cấu (%),Hàng y tế,1996,1.9
Cơ cấu (%),Hàng y tế,1997,3.1
Cơ cấu (%),Hàng y tế,1998,2.8
Cơ cấu (%),Hàng y tế,1999,2.3
Cơ cấu (%),Hàng y tế,2000,2.2
Cơ cấu (%),Hàng y tế,2001,2.024910593168085
Cơ cấu (%),Hàng y tế,2002,1.8
Cơ cấu (%),Hàng y tế,2003,1.6
Cơ cấu (%),Hàng y tế,2004,1.4
Cơ cấu (%),Hàng y tế,2005,1.4
Cơ cấu (%),Hàng y tế,2006,1.3
Cơ cấu (%),Hàng y tế,2007,1.2
Cơ cấu (%),Hàng y tế,2008,1.1
Cơ cấu (%),Hàng y tế,2009,1.7
Cơ cấu (%),Hàng y tế,2010,1.6
Cơ cấu (%),Hàng y tế,2011,1.5
Cơ cấu (%),Hàng y tế,2012,1.6
Cơ cấu (%),Hàng y tế,2013,1.5
Cơ cấu (%),Hàng y tế,2014,1.4
Cơ cấu (%),Hàng y tế,2015,1.4
Cơ cấu (%),Hàng y tế,2016,1.5
Cơ cấu (%),Hàng y tế,2017,1.4
Cơ cấu (%),Hàng y tế,2018,1.3
Cơ cấu (%),Hàng y tế,2019,1.3
Cơ cấu (%),Hàng y tế,2020,1.260543504036786
Cơ cấu (%),Hàng y tế,2021,1.216408120042295
Cơ cấu (%),Hàng y tế,2022,1
Cơ cấu (%),Hàng y tế,2023,1.2
Cơ cấu (%),Hàng y tế,Sơ bộ 2024,1.3
Cơ cấu (%),Hàng khác,1995,10.78181327709248
Cơ cấu (%),Hàng khác,1996,7.61
Cơ cấu (%),Hàng khác,1997,4.95
Cơ cấu (%),Hàng khác,1998,3.21
Cơ cấu (%),Hàng khác,1999,3.6
Cơ cấu (%),Hàng khác,2000,2.1
Cơ cấu (%),Hàng khác,2001,2.955010482180294
Cơ cấu (%),Hàng khác,2002,3.6
Cơ cấu (%),Hàng khác,2003,3.8
Cơ cấu (%),Hàng khác,2004,2.9
Cơ cấu (%),Hàng khác,2005,3.7
Cơ cấu (%),Hàng khác,2006,3.7
Cơ cấu (%),Hàng khác,2007,3.7
Cơ cấu (%),Hàng khác,2008,3.9
Cơ cấu (%),Hàng khác,2009,4.5
Cơ cấu (%),Hàng khác,2010,5
Cơ cấu (%),Hàng khác,2011,4.5
Cơ cấu (%),Hàng khác,2012,4.1
Cơ cấu (%),Hàng khác,2013,4.1
Cơ cấu (%),Hàng khác,2014,3.7
Cơ cấu (%),Hàng khác,2015,3.6
Cơ cấu (%),Hàng khác,2016,4
Cơ cấu (%),Hàng khác,2017,3.5
Cơ cấu (%),Hàng khác,2018,4.6
Cơ cấu (%),Hàng khác,2019,5.3
Cơ cấu (%),Hàng khác,2020,5.6
Cơ cấu (%),Hàng khác,2021,5.195753859600722
Cơ cấu (%),Hàng khác,2022,5.3
Cơ cấu (%),Hàng khác,2023,4.5
Cơ cấu (%),Hàng khác,Sơ bộ 2024,4.8
Cơ cấu (%),Vàng phi tiền tệ,1995,
Cơ cấu (%),Vàng phi tiền tệ,1996,
Cơ cấu (%),Vàng phi tiền tệ,1997,
Cơ cấu (%),Vàng phi tiền tệ,1998,
Cơ cấu (%),Vàng phi tiền tệ,1999,
Cơ cấu (%),Vàng phi tiền tệ,2000,
Cơ cấu (%),Vàng phi tiền tệ,2001,
Cơ cấu (%),Vàng phi tiền tệ,2002,
Cơ cấu (%),Vàng phi tiền tệ,2003,
Cơ cấu (%),Vàng phi tiền tệ,2004,
Cơ cấu (%),Vàng phi tiền tệ,2005,2.2
Cơ cấu (%),Vàng phi tiền tệ,2006,4.2
Cơ cấu (%),Vàng phi tiền tệ,2007,2.1
Cơ cấu (%),Vàng phi tiền tệ,2008,3.4
Cơ cấu (%),Vàng phi tiền tệ,2009,0.5
Cơ cấu (%),Vàng phi tiền tệ,2010,1.1
Cơ cấu (%),Vàng phi tiền tệ,2011,1.9
Cơ cấu (%),Vàng phi tiền tệ,2012,0.1
Cơ cấu (%),Vàng phi tiền tệ,2013,0.1
Cơ cấu (%),Vàng phi tiền tệ,2014,0.1
Cơ cấu (%),Vàng phi tiền tệ,2015,0.1
Cơ cấu (%),Vàng phi tiền tệ,2016,0.1
Cơ cấu (%),Vàng phi tiền tệ,2017,0.1
Cơ cấu (%),Vàng phi tiền tệ,2018,0.1
Cơ cấu (%),Vàng phi tiền tệ,2019,0.1
Cơ cấu (%),Vàng phi tiền tệ,2020,0.082379734109792
Cơ cấu (%),Vàng phi tiền tệ,2021,0.077418631088885
Cơ cấu (%),Vàng phi tiền tệ,2022,0.074211997828674
Cơ cấu (%),Vàng phi tiền tệ,2023,0.1
Cơ cấu (%),Vàng phi tiền tệ,Sơ bộ 2024,0.1
