Giá trị và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2011,48387
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2012,59941.2
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2013,74435
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2014,84210.9
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2015,97226.5
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2016,102436.1
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2017,127835.8
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2018,141939
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2019,149410.9
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2020,169013.93436
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2021,218480.187202
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2022,233158.5
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,2023,209059.5
Giá trị (Triệu đô la Mỹ),Khu vực có vốn đầu tư nước ngoài,Sơ bộ 2024,240754.3
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,1995,6917.6
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,1996,9759.9
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,1997,10421.2
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,1998,10524.1
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,1999,10750.4
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2000,14668.2
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2001,14930.5
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2002,18192.4
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2003,23288
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2004,29833.4
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2005,32949.2
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2006,39504.1
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2007,56788.6
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2008,71715.9
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2009,63093.2
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2010,75496
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2011,94551.5
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2012,103430.2
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2013,119933.1
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2014,134674.5
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2015,151004.3
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2016,158022.2
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2017,193310
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2018,212960.8
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2019,226035.5
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2020,233094.6777862601
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2021,295807.9024136298
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2022,319941.7
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,2023,291955.2
Giá trị (Triệu đô la Mỹ),Tư liệu sản xuất,Sơ bộ 2024,338870.6
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",1995,2096.9
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",1996,3075
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",1997,3511.5
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",1998,3513.3
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",1999,3503.6
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2000,4781.5
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2001,4949
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2002,5879.9
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2003,7983.7
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2004,9207.5
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2005,9285.3
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2006,11040.8
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2007,17966.2
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2008,22566.7
Giá trị (Triệu đô la Mỹ),"Máy móc, thiết bị, dụng cụ, phụ tùng",2009,22081.5
