Đối tác đầu tư,Số dự án và tổng vốn đăng ký,Giá trị
Liên bang Bosna và Hercegovina - Bosnia and Herzegovina,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),14.015118
Bỉ - Belgium,Số dự án,4
Bỉ - Belgium,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),12.65628
Nam Phi,Số dự án,4
Nam Phi,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),8.865
Đài Loan,Số dự án,27
Đài Loan,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),7.07602665
Hung-ga-ry,Số dự án,2
Hung-ga-ry,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),5.80878
U-dơ-bê-ki-xtan,Số dự án,5
U-dơ-bê-ki-xtan,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),4.426348
Ba Lan,Số dự án,4
Ba Lan,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),3.61527333
Ang-go-la,Số dự án,4
Ang-go-la,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),2.98
Các Tiểu VQ Ả-rập Thống nhất,Số dự án,6
Các Tiểu VQ Ả-rập Thống nhất,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),2.313741
Tát-gi-ki-xtan,Số dự án,2
Tát-gi-ki-xtan,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),2.222
Cộng hòa U-crai-na,Số dự án,3
Cộng hòa U-crai-na,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1.906686
Cộng hòa Séc,Số dự án,4
Cộng hòa Séc,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1.5056
Ả Rập Xê Út,Số dự án,2
Ả Rập Xê Út,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1.439463
Cộng hòa Nhân dân Băng-la-dét,Số dự án,3
Cộng hòa Nhân dân Băng-la-dét,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1.4
Bru-nây,Số dự án,2
Bru-nây,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1.38897
Phần Lan,Số dự án,11
Phần Lan,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),1.169716
Bờ Biển Ngà,Số dự án,1
Bờ Biển Ngà,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),0.895
Bồ Đào Nha,Số dự án,1
Bồ Đào Nha,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),0.856
Thổ Nhĩ Kỳ,Số dự án,1
Thổ Nhĩ Kỳ,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),0.85
Cộng hòa Bê-la-rút,Số dự án,1
Cộng hòa Bê-la-rút,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),0.816
Áo,Số dự án,2
Áo,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),0.793399
Thụy Điển,Số dự án,3
Thụy Điển,Tổng vốn đăng ký (Triệu đô la Mỹ)(*),0.705623
