Trị giá và cơ cấu,Khu vực kinh tế và nhóm hàng,Năm,Giá trị
Cơ cấu (%),Nhiên liệu và khoáng sản,1996,
Cơ cấu (%),Nhiên liệu và khoáng sản,1997,
Cơ cấu (%),Nhiên liệu và khoáng sản,1998,
Cơ cấu (%),Nhiên liệu và khoáng sản,1999,
Cơ cấu (%),Nhiên liệu và khoáng sản,2000,
Cơ cấu (%),Nhiên liệu và khoáng sản,2001,
Cơ cấu (%),Nhiên liệu và khoáng sản,2002,
Cơ cấu (%),Nhiên liệu và khoáng sản,2003,
Cơ cấu (%),Nhiên liệu và khoáng sản,2004,
Cơ cấu (%),Nhiên liệu và khoáng sản,2005,
Cơ cấu (%),Nhiên liệu và khoáng sản,2006,
Cơ cấu (%),Nhiên liệu và khoáng sản,2007,
Cơ cấu (%),Nhiên liệu và khoáng sản,2008,
Cơ cấu (%),Nhiên liệu và khoáng sản,2009,
Cơ cấu (%),Nhiên liệu và khoáng sản,2010,
Cơ cấu (%),Nhiên liệu và khoáng sản,2011,
Cơ cấu (%),Nhiên liệu và khoáng sản,2012,
Cơ cấu (%),Nhiên liệu và khoáng sản,2013,
Cơ cấu (%),Nhiên liệu và khoáng sản,2014,
Cơ cấu (%),Nhiên liệu và khoáng sản,2015,3.276115273363793
Cơ cấu (%),Nhiên liệu và khoáng sản,2016,2.173215056840835
Cơ cấu (%),Nhiên liệu và khoáng sản,2017,2.402114466741596
Cơ cấu (%),Nhiên liệu và khoáng sản,2018,2.149867883458649
Cơ cấu (%),Nhiên liệu và khoáng sản,2019,1.9125925539056
Cơ cấu (%),Nhiên liệu và khoáng sản,2020,1.20554887923803
Cơ cấu (%),Nhiên liệu và khoáng sản,2021,1.252075640400527
Cơ cấu (%),Nhiên liệu và khoáng sản,2022,1.4
Cơ cấu (%),Nhiên liệu và khoáng sản,2023,1.4
Cơ cấu (%),Nhiên liệu và khoáng sản,Sơ bộ 2024,0.8
Cơ cấu (%),Công nghiệp chế biến,1995,
Cơ cấu (%),Công nghiệp chế biến,1996,
Cơ cấu (%),Công nghiệp chế biến,1997,
Cơ cấu (%),Công nghiệp chế biến,1998,
Cơ cấu (%),Công nghiệp chế biến,1999,
Cơ cấu (%),Công nghiệp chế biến,2000,
Cơ cấu (%),Công nghiệp chế biến,2001,
Cơ cấu (%),Công nghiệp chế biến,2002,
Cơ cấu (%),Công nghiệp chế biến,2003,
Cơ cấu (%),Công nghiệp chế biến,2004,
Cơ cấu (%),Công nghiệp chế biến,2005,
Cơ cấu (%),Công nghiệp chế biến,2006,
Cơ cấu (%),Công nghiệp chế biến,2007,
Cơ cấu (%),Công nghiệp chế biến,2008,
Cơ cấu (%),Công nghiệp chế biến,2009,
Cơ cấu (%),Công nghiệp chế biến,2010,
Cơ cấu (%),Công nghiệp chế biến,2011,
Cơ cấu (%),Công nghiệp chế biến,2012,
Cơ cấu (%),Công nghiệp chế biến,2013,
Cơ cấu (%),Công nghiệp chế biến,2014,
Cơ cấu (%),Công nghiệp chế biến,2015,82.10772417034788
Cơ cấu (%),Công nghiệp chế biến,2016,83.94138711588688
Cơ cấu (%),Công nghiệp chế biến,2017,84.60059004593684
Cơ cấu (%),Công nghiệp chế biến,2018,85.87602919318161
Cơ cấu (%),Công nghiệp chế biến,2019,87.3452292180302
Cơ cấu (%),Công nghiệp chế biến,2020,88.98136559222147
Cơ cấu (%),Công nghiệp chế biến,2021,89.37843391981926
Cơ cấu (%),Công nghiệp chế biến,2022,89.1
Cơ cấu (%),Công nghiệp chế biến,2023,88.1
Cơ cấu (%),Công nghiệp chế biến,Sơ bộ 2024,88.1
Cơ cấu (%),Hàng nông sản,1995,32.03949420984052
Cơ cấu (%),Hàng nông sản,1996,29.8
Cơ cấu (%),Hàng nông sản,1997,24.3
Cơ cấu (%),Hàng nông sản,1998,24.3
Cơ cấu (%),Hàng nông sản,1999,22.1
Cơ cấu (%),Hàng nông sản,2000,17.7
Cơ cấu (%),Hàng nông sản,2001,16.1
Cơ cấu (%),Hàng nông sản,2002,14.3
Cơ cấu (%),Hàng nông sản,2003,13.3
Cơ cấu (%),Hàng nông sản,2004,12.8
Cơ cấu (%),Hàng nông sản,2005,13.7
Cơ cấu (%),Hàng nông sản,2006,13.4
Cơ cấu (%),Hàng nông sản,2007,14.5
Cơ cấu (%),Hàng nông sản,2008,14.7
Cơ cấu (%),Hàng nông sản,2009,14.6
Cơ cấu (%),Hàng nông sản,2010,14.7
Cơ cấu (%),Hàng nông sản,2011,14.9
Cơ cấu (%),Hàng nông sản,2012,13.5
Cơ cấu (%),Hàng nông sản,2013,10.6
Cơ cấu (%),Hàng nông sản,2014,10.1
Cơ cấu (%),Hàng nông sản,2015,9.1
Cơ cấu (%),Hàng nông sản,2016,8.7
Cơ cấu (%),Hàng nông sản,2017,8.1
Cơ cấu (%),Hàng nông sản,2018,7.2
Cơ cấu (%),Hàng nông sản,2019,6.279087157118027
Cơ cấu (%),Hàng nông sản,2020,5.67092522640463
Cơ cấu (%),Hàng nông sản,2021,5.446985345546096
Cơ cấu (%),Hàng nông sản,2022,5.1
Cơ cấu (%),Hàng nông sản,2023,6.6
Cơ cấu (%),Hàng nông sản,Sơ bộ 2024,7.1
Cơ cấu (%),Hàng lâm sản,1995,2.824423278092827
Cơ cấu (%),Hàng lâm sản,1996,2.9
Cơ cấu (%),Hàng lâm sản,1997,2.5
Cơ cấu (%),Hàng lâm sản,1998,2
Cơ cấu (%),Hàng lâm sản,1999,1.5
Cơ cấu (%),Hàng lâm sản,2000,1.1
Cơ cấu (%),Hàng lâm sản,2001,1.2
Cơ cấu (%),Hàng lâm sản,2002,1.2
Cơ cấu (%),Hàng lâm sản,2003,1
Cơ cấu (%),Hàng lâm sản,2004,0.7
Cơ cấu (%),Hàng lâm sản,2005,0.8
Cơ cấu (%),Hàng lâm sản,2006,0.8
Cơ cấu (%),Hàng lâm sản,2007,0.8
Cơ cấu (%),Hàng lâm sản,2008,0.7
Cơ cấu (%),Hàng lâm sản,2009,0.8
Cơ cấu (%),Hàng lâm sản,2010,1.1
Cơ cấu (%),Hàng lâm sản,2011,1.3
Cơ cấu (%),Hàng lâm sản,2012,1.2
Cơ cấu (%),Hàng lâm sản,2013,1.4
Cơ cấu (%),Hàng lâm sản,2014,1.3
Cơ cấu (%),Hàng lâm sản,2015,1.4
Cơ cấu (%),Hàng lâm sản,2016,1.2
Cơ cấu (%),Hàng lâm sản,2017,1
Cơ cấu (%),Hàng lâm sản,2018,1.2
Cơ cấu (%),Hàng lâm sản,2019,1.238771543401766
Cơ cấu (%),Hàng lâm sản,2020,1.171696559493035
Cơ cấu (%),Hàng lâm sản,2021,1.286719085024331
Cơ cấu (%),Hàng lâm sản,2022,1.5
Cơ cấu (%),Hàng lâm sản,2023,1.4
Cơ cấu (%),Hàng lâm sản,Sơ bộ 2024,1.5
Cơ cấu (%),Hàng thủy sản,1995,11.40413661472958
Cơ cấu (%),Hàng thủy sản,1996,9.6
Cơ cấu (%),Hàng thủy sản,1997,8.5
Cơ cấu (%),Hàng thủy sản,1998,9.2
Cơ cấu (%),Hàng thủy sản,1999,8.4
Cơ cấu (%),Hàng thủy sản,2000,10.1
Cơ cấu (%),Hàng thủy sản,2001,12.1
Cơ cấu (%),Hàng thủy sản,2002,12.1
Cơ cấu (%),Hàng thủy sản,2003,10.8
Cơ cấu (%),Hàng thủy sản,2004,9.1
Cơ cấu (%),Hàng thủy sản,2005,8.4
Cơ cấu (%),Hàng thủy sản,2006,8.4
Cơ cấu (%),Hàng thủy sản,2007,7.7
Cơ cấu (%),Hàng thủy sản,2008,7.2
Cơ cấu (%),Hàng thủy sản,2009,7.5
Cơ cấu (%),Hàng thủy sản,2010,7
Cơ cấu (%),Hàng thủy sản,2011,6.3
Cơ cấu (%),Hàng thủy sản,2012,5.3
Cơ cấu (%),Hàng thủy sản,2013,5.1
Cơ cấu (%),Hàng thủy sản,2014,5.2
Cơ cấu (%),Hàng thủy sản,2015,4.1
Cơ cấu (%),Hàng thủy sản,2016,4
Cơ cấu (%),Hàng thủy sản,2017,3.9
Cơ cấu (%),Hàng thủy sản,2018,3.6
Cơ cấu (%),Hàng thủy sản,2019,3.221746979279998
Cơ cấu (%),Hàng thủy sản,2020,2.968186463409228
Cơ cấu (%),Hàng thủy sản,2021,2.633614123253415
Cơ cấu (%),Hàng thủy sản,2022,2.9
Cơ cấu (%),Hàng thủy sản,2023,2.5
Cơ cấu (%),Hàng thủy sản,Sơ bộ 2024,2.5
Cơ cấu (%),Vàng phi tiền tệ(**),1995,
Cơ cấu (%),Vàng phi tiền tệ(**),1996,
Cơ cấu (%),Vàng phi tiền tệ(**),1997,
Cơ cấu (%),Vàng phi tiền tệ(**),1998,
Cơ cấu (%),Vàng phi tiền tệ(**),1999,
Cơ cấu (%),Vàng phi tiền tệ(**),2000,
Cơ cấu (%),Vàng phi tiền tệ(**),2001,
Cơ cấu (%),Vàng phi tiền tệ(**),2002,
Cơ cấu (%),Vàng phi tiền tệ(**),2003,
Cơ cấu (%),Vàng phi tiền tệ(**),2004,
Cơ cấu (%),Vàng phi tiền tệ(**),2005,
Cơ cấu (%),Vàng phi tiền tệ(**),2006,
Cơ cấu (%),Vàng phi tiền tệ(**),2007,
Cơ cấu (%),Vàng phi tiền tệ(**),2008,0.6
Cơ cấu (%),Vàng phi tiền tệ(**),2009,1.4
Cơ cấu (%),Vàng phi tiền tệ(**),2010,0.050666766338994
Cơ cấu (%),Vàng phi tiền tệ(**),2011,0.1
Cơ cấu (%),Vàng phi tiền tệ(**),2012,0.1
Cơ cấu (%),Vàng phi tiền tệ(**),2013,0.1
Cơ cấu (%),Vàng phi tiền tệ(**),2014,0.01
Cơ cấu (%),Vàng phi tiền tệ(**),2015,0.003
Cơ cấu (%),Vàng phi tiền tệ(**),2016,0.003
Cơ cấu (%),Vàng phi tiền tệ(**),2017,0.003
Cơ cấu (%),Vàng phi tiền tệ(**),2018,0.002
Cơ cấu (%),Vàng phi tiền tệ(**),2019,0.002572548264416
Cơ cấu (%),Vàng phi tiền tệ(**),2020,0.002277259585992
Cơ cấu (%),Vàng phi tiền tệ(**),2021,0.002171885956369
Cơ cấu (%),Vàng phi tiền tệ(**),2022,0.003120667047962
Cơ cấu (%),Vàng phi tiền tệ(**),2023,0.005340432889951
Cơ cấu (%),Vàng phi tiền tệ(**),Sơ bộ 2024,0.005582065025084
