"Khối nước, nước và vùng lãnh thổ chủ yếu",Năm,Giá trị
In-đô-nê-xi-a,2001,288.9
In-đô-nê-xi-a,2002,362.6
In-đô-nê-xi-a,2003,551.5
In-đô-nê-xi-a,2004,663.3
In-đô-nê-xi-a,2005,700
In-đô-nê-xi-a,2006,1012.8
In-đô-nê-xi-a,2007,1353.9
In-đô-nê-xi-a,2008,1728.9
In-đô-nê-xi-a,2009,1452.7
In-đô-nê-xi-a,2010,1909.2
In-đô-nê-xi-a,2011,2247.6
In-đô-nê-xi-a,2012,2247.4
In-đô-nê-xi-a,2013,2367.4
In-đô-nê-xi-a,2014,2488.5
In-đô-nê-xi-a,2015,2740.33631326
In-đô-nê-xi-a,2016,2992.4775868
In-đô-nê-xi-a,2017,3656.305
In-đô-nê-xi-a,2018,4938.3603172
In-đô-nê-xi-a,2019,5723.10127385
In-đô-nê-xi-a,2020,5381.80310665
In-đô-nê-xi-a,2021,7614.78772345
In-đô-nê-xi-a,2022,9627.78436796
In-đô-nê-xi-a,2023,8732.34638893
In-đô-nê-xi-a,Sơ bộ 2024,10517.004228
Lào,1995,84
Lào,1996,68.089
Lào,1997,52.676
Lào,1998,131.417
Lào,1999,197.4
Lào,2000,105.7
Lào,2001,68
Lào,2002,62.6
Lào,2003,60.7
Lào,2004,74.3
Lào,2005,97.5
Lào,2006,166.6
Lào,2007,211.3
Lào,2008,278.7
Lào,2009,254.2
Lào,2010,291.7
Lào,2011,460
Lào,2012,450.9
Lào,2013,668.7
Lào,2014,802.1
Lào,2015,588.32257622
Lào,2016,347.11250634
Lào,2017,370.609
Lào,2018,438.4561483
Lào,2019,462.36498906
Lào,2020,458.15983323
Lào,2021,777.97805932
Lào,2022,1047.44499099
Lào,2023,1097.11630811
Lào,Sơ bộ 2024,1497.072058
Ma-lai-xi-a,1995,190.5
Ma-lai-xi-a,1996,200.29
Ma-lai-xi-a,1997,226.79
Ma-lai-xi-a,1998,248.957
Ma-lai-xi-a,1999,305
Ma-lai-xi-a,2000,388.9
Ma-lai-xi-a,2001,464.4
Ma-lai-xi-a,2002,683.3
Ma-lai-xi-a,2003,925
Ma-lai-xi-a,2004,1215.3
Ma-lai-xi-a,2005,1256.5
Ma-lai-xi-a,2006,1482
Ma-lai-xi-a,2007,2289.9
Ma-lai-xi-a,2008,2596.1
Ma-lai-xi-a,2009,2561.3
Ma-lai-xi-a,2010,3413.4
Ma-lai-xi-a,2011,3919.7
Ma-lai-xi-a,2012,3412
Ma-lai-xi-a,2013,4095.9
Ma-lai-xi-a,2014,4203.6
Ma-lai-xi-a,2015,4188.0275942
Ma-lai-xi-a,2016,5174.3131522
Ma-lai-xi-a,2017,5945.356
Ma-lai-xi-a,2018,7454.0175946
Ma-lai-xi-a,2019,7336.6963394
Ma-lai-xi-a,2020,6576.26032116
Ma-lai-xi-a,2021,8164.95188016
Ma-lai-xi-a,2022,9126.61682014
Ma-lai-xi-a,2023,7811.61648886
Ma-lai-xi-a,Sơ bộ 2024,9069.889486
My-an-ma,1995,
My-an-ma,1996,0.6
My-an-ma,1997,1.4
My-an-ma,1998,1.5
My-an-ma,1999,1.2
My-an-ma,2000,3.6
My-an-ma,2001,4
My-an-ma,2002,5.9
My-an-ma,2003,18.3
My-an-ma,2004,19.3
My-an-ma,2005,45.8
My-an-ma,2006,64.6
My-an-ma,2007,75.4
My-an-ma,2008,75.6
My-an-ma,2009,59.1
My-an-ma,2010,102.8
My-an-ma,2011,84.8
My-an-ma,2012,109.5
My-an-ma,2013,123.5
My-an-ma,2014,134.6
My-an-ma,2015,58.92042704
My-an-ma,2016,88.82748914
My-an-ma,2017,127.543
My-an-ma,2018,160.9285425
My-an-ma,2019,234.48826691
My-an-ma,2020,219.91416305
My-an-ma,2021,382.65075491
My-an-ma,2022,369.60153898
My-an-ma,2023,250.96558782
My-an-ma,Sơ bộ 2024,291.831038
Phi-li-pin,1995,24.7
Phi-li-pin,1996,28.939
