Kết quả kinh doanh,Năm,Giá trị
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),2023,214767.007300296
Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách),Sơ bộ 2024,251896.8174292539
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2000,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2001,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2002,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2003,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2004,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2005,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2006,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2007,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2008,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2009,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2010,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2011,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2012,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2013,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2014,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2015,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2016,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2017,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2018,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2019,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2020,
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2021,43831.5130431563
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2022,119626.0873477717
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),2023,167719.9871170186
     Khách du lịch nghỉ qua đêm (Nghìn lượt khách),Sơ bộ 2024,197159.0422452349
     Khách trong ngày (Nghìn lượt khách),2000,
     Khách trong ngày (Nghìn lượt khách),2001,
     Khách trong ngày (Nghìn lượt khách),2002,
     Khách trong ngày (Nghìn lượt khách),2003,
     Khách trong ngày (Nghìn lượt khách),2004,
     Khách trong ngày (Nghìn lượt khách),2005,
     Khách trong ngày (Nghìn lượt khách),2006,
     Khách trong ngày (Nghìn lượt khách),2007,
     Khách trong ngày (Nghìn lượt khách),2008,
     Khách trong ngày (Nghìn lượt khách),2009,
     Khách trong ngày (Nghìn lượt khách),2010,
     Khách trong ngày (Nghìn lượt khách),2011,
     Khách trong ngày (Nghìn lượt khách),2012,
     Khách trong ngày (Nghìn lượt khách),2013,
     Khách trong ngày (Nghìn lượt khách),2014,
     Khách trong ngày (Nghìn lượt khách),2015,
     Khách trong ngày (Nghìn lượt khách),2016,
     Khách trong ngày (Nghìn lượt khách),2017,
     Khách trong ngày (Nghìn lượt khách),2018,
     Khách trong ngày (Nghìn lượt khách),2019,
     Khách trong ngày (Nghìn lượt khách),2020,
     Khách trong ngày (Nghìn lượt khách),2021,19771.19411607655
     Khách trong ngày (Nghìn lượt khách),2022,37534.55196894775
     Khách trong ngày (Nghìn lượt khách),2023,47047.02018327739
     Khách trong ngày (Nghìn lượt khách),Sơ bộ 2024,54737.77518401897
     Khách trong nước (Nghìn lượt khách),2000,7674
     Khách trong nước (Nghìn lượt khách),2001,9982
     Khách trong nước (Nghìn lượt khách),2002,14676.4
     Khách trong nước (Nghìn lượt khách),2003,16497
     Khách trong nước (Nghìn lượt khách),2004,18426
     Khách trong nước (Nghìn lượt khách),2005,21578.5
     Khách trong nước (Nghìn lượt khách),2006,22263.2
     Khách trong nước (Nghìn lượt khách),2007,27023.1
     Khách trong nước (Nghìn lượt khách),2008,33618.6
     Khách trong nước (Nghìn lượt khách),2009,46728.1
     Khách trong nước (Nghìn lượt khách),2010,57897.3
     Khách trong nước (Nghìn lượt khách),2011,61405.4
     Khách trong nước (Nghìn lượt khách),2012,70085.4
     Khách trong nước (Nghìn lượt khách),2013,77863.8
     Khách trong nước (Nghìn lượt khách),2014,90571.6
     Khách trong nước (Nghìn lượt khách),2015,102200
     Khách trong nước (Nghìn lượt khách),2016,117037.8
     Khách trong nước (Nghìn lượt khách),2017,132837.9
     Khách trong nước (Nghìn lượt khách),2018,144683.1
     Khách trong nước (Nghìn lượt khách),2019,162046.620875
     Khách trong nước (Nghìn lượt khách),2020,78083.8
     Khách trong nước (Nghìn lượt khách),2021,60453.23507094073
     Khách trong nước (Nghìn lượt khách),2022,143096.6529214771
     Khách trong nước (Nghìn lượt khách),2023,174356.9025676808
     Khách trong nước (Nghìn lượt khách),Sơ bộ 2024,192273
     Khách quốc tế (Nghìn lượt khách),2000,2656
     Khách quốc tế (Nghìn lượt khách),2001,4110
     Khách quốc tế (Nghìn lượt khách),2002,4934.2
     Khách quốc tế (Nghìn lượt khách),2003,4187.2
     Khách quốc tế (Nghìn lượt khách),2004,5676.2
     Khách quốc tế (Nghìn lượt khách),2005,5326.6
     Khách quốc tế (Nghìn lượt khách),2006,5844.1
     Khách quốc tế (Nghìn lượt khách),2007,8035.8
     Khách quốc tế (Nghìn lượt khách),2008,6733.3
     Khách quốc tế (Nghìn lượt khách),2009,7595.3
     Khách quốc tế (Nghìn lượt khách),2010,8637.9
     Khách quốc tế (Nghìn lượt khách),2011,9810.9
     Khách quốc tế (Nghìn lượt khách),2012,9594.6
     Khách quốc tế (Nghìn lượt khách),2013,9569.1
     Khách quốc tế (Nghìn lượt khách),2014,9869.9
     Khách quốc tế (Nghìn lượt khách),2015,11811
     Khách quốc tế (Nghìn lượt khách),2016,12697.4
     Khách quốc tế (Nghìn lượt khách),2017,13747.3
     Khách quốc tế (Nghìn lượt khách),2018,14957.5
     Khách quốc tế (Nghìn lượt khách),2019,17318.86907
     Khách quốc tế (Nghìn lượt khách),2020,7213.89
     Khách quốc tế (Nghìn lượt khách),2021,3149.472088292127
     Khách quốc tế (Nghìn lượt khách),2022,14063.98639524233
     Khách quốc tế (Nghìn lượt khách),2023,40410.10473261526
     Khách quốc tế (Nghìn lượt khách),Sơ bộ 2024,59623.76044717599
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2000,2397.8
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2001,3113.4
Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách),2002,4669.9
