Kết quả kinh doanh,Năm,Giá trị
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2000,99
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2001,97
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2002,97.8
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2003,150.7
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2004,596
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2005,370.6
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2006,403
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2007,360.8
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2008,376.1
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2009,455.7
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2010,433.4
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2011,461
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2012,404.5
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2013,390.7
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2014,429.6
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2015,493
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2016,588.8
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2017,698.3
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2018,777.9
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2019,844.849147
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2020,87.985
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2021,2.32469612219935
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2022,199.1761646949445
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),2023,489.363054060877
     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách),Sơ bộ 2024,746.2067522725417
